time,bits
2021-09-06 12:49:03,95271184
2021-09-06 12:49:33,18914216
2021-09-06 12:50:03,3321288
2021-09-06 12:50:33,3434720
2021-09-06 12:51:03,19092976
2021-09-06 12:51:33,3789256
2021-09-06 12:52:03,3073824
2021-09-06 12:52:33,1959040
2021-09-06 12:53:03,41241712
2021-09-06 12:53:33,44569352
2021-09-06 12:54:03,13333664
2021-09-06 12:54:33,14248960
2021-09-06 12:55:03,61065016
2021-09-06 12:55:33,11405144
2021-09-06 12:56:03,16460936
2021-09-06 12:56:33,41044312
2021-09-06 12:57:03,34323040
2021-09-06 12:57:33,3987120
2021-09-06 12:58:03,9597576
2021-09-06 12:58:33,7582912
2021-09-06 12:59:03,2752568
2021-09-06 12:59:33,2464728
2021-09-06 13:00:03,19359272
2021-09-06 13:00:34,4869176
2021-09-06 13:01:03,33269728
2021-09-06 13:01:33,39363984
2021-09-06 13:02:03,9098912
2021-09-06 13:02:33,7020056
2021-09-06 13:03:03,37061192
2021-09-06 13:03:33,9832112
2021-09-06 13:04:03,16635696
2021-09-06 13:04:33,22910360
2021-09-06 13:05:03,4696824
2021-09-06 13:05:33,2591296
2021-09-06 13:06:03,15505512
2021-09-06 13:06:33,16585256
2021-09-06 13:07:03,8533240
2021-09-06 13:07:33,3234576
2021-09-06 13:08:03,5548768
2021-09-06 13:08:33,6755984
2021-09-06 13:09:03,16568144
2021-09-06 13:09:33,41867656
2021-09-06 13:10:03,44247528
2021-09-06 13:10:33,31722336
2021-09-06 13:11:03,6392592
2021-09-06 13:11:33,25822296
2021-09-06 13:12:03,19748184
2021-09-06 13:12:33,27369672
2021-09-06 13:13:03,36000568
2021-09-06 13:13:33,8886040
2021-09-06 13:14:03,3043504
2021-09-06 13:14:33,19693744
2021-09-06 13:15:03,4127952
2021-09-06 13:15:33,5376944
2021-09-06 13:16:33,5083440
2021-09-06 13:17:03,2434920
2021-09-06 13:17:33,11732456
2021-09-06 13:18:03,5999656
2021-09-06 13:18:33,40232752
2021-09-06 13:19:03,21921912
2021-09-06 13:19:33,57697112
2021-09-06 13:20:03,47440872
2021-09-06 13:20:33,50975920
2021-09-06 13:21:03,31154512
2021-09-06 13:21:33,15230240
2021-09-06 13:22:03,28461760
2021-09-06 13:22:34,24622728
2021-09-06 13:23:03,29847704
2021-09-06 13:23:33,13146648
2021-09-06 13:24:03,5104376
2021-09-06 13:24:33,23962888
2021-09-06 13:25:03,18376720
2021-09-06 13:25:33,16248856
