Data Hora,QtdBites
2021-09-03 02:11:03,521824
2021-09-03 02:11:33,534680
2021-09-03 02:12:03,511984
2021-09-03 02:12:33,523120
2021-09-03 02:13:03,513576
2021-09-03 02:13:33,750232
2021-09-03 02:14:03,666392
2021-09-03 02:14:33,607272
2021-09-03 02:15:03,542936
2021-09-03 02:15:33,563464
2021-09-03 02:16:03,591640
2021-09-03 02:16:33,1337200
2021-09-03 02:17:03,825840
2021-09-03 02:17:33,586984
2021-09-03 02:18:03,527656
2021-09-03 02:18:33,997656
2021-09-03 02:19:03,1013488
2021-09-03 02:19:33,1429928
2021-09-03 02:20:03,964528
2021-09-03 02:20:33,488264
2021-09-03 02:21:03,511664
2021-09-03 02:21:33,506416
2021-09-03 02:22:03,495072
2021-09-03 02:22:33,510568
2021-09-03 02:23:03,672304
2021-09-03 02:23:33,2822464
2021-09-03 02:24:03,509616
2021-09-03 02:24:33,677856
2021-09-03 02:25:03,503240
2021-09-03 02:25:33,505024
2021-09-03 02:26:04,501104
2021-09-03 02:26:33,511816
2021-09-03 02:27:03,536240
2021-09-03 02:27:33,522080
2021-09-03 02:28:03,581968
2021-09-03 02:28:33,550624
2021-09-03 02:29:03,493840
2021-09-03 02:29:33,563080
2021-09-03 02:30:03,492016
2021-09-03 02:30:33,2370408
2021-09-03 02:31:04,3422952
2021-09-03 02:31:33,1984872
2021-09-03 02:32:33,622160
2021-09-03 02:33:03,546944
2021-09-03 02:33:33,508112
2021-09-03 02:34:03,612112
2021-09-03 02:34:33,512792
2021-09-03 02:35:03,728152
2021-09-03 02:35:33,481248
2021-09-03 02:36:03,511232
2021-09-03 02:36:33,502336
2021-09-03 02:37:03,457456
2021-09-03 02:37:33,471024
2021-09-03 02:38:03,459552
2021-09-03 02:38:34,505224
2021-09-03 02:39:03,681520
2021-09-03 02:39:33,86734768
2021-09-03 02:40:03,143949344
2021-09-03 02:40:33,512304
2021-09-03 02:41:03,602528
2021-09-03 02:41:33,488584
2021-09-03 02:42:03,859376
2021-09-03 02:42:33,602704
2021-09-03 02:43:03,494408
2021-09-03 02:43:33,524920
2021-09-03 02:44:03,67617792
2021-09-03 02:44:33,75059296
2021-09-03 02:45:03,1305696
2021-09-03 02:45:33,27319776
2021-09-03 02:46:03,1273280
2021-09-03 02:46:33,472616
2021-09-03 02:47:03,476032
2021-09-03 02:47:33,508520
2021-09-03 02:48:03,623840
2021-09-03 02:48:33,524536
2021-09-03 02:49:03,546720
2021-09-03 02:49:33,1016480
2021-09-03 02:50:03,651496
2021-09-03 02:50:34,11250272
2021-09-03 02:51:03,65746384
2021-09-03 02:51:33,1540560
2021-09-03 02:52:03,523000
2021-09-03 02:52:33,464184
2021-09-03 02:53:03,874880
2021-09-03 02:53:33,518936
2021-09-03 02:54:03,1018976
2021-09-03 02:54:33,987464
2021-09-03 02:55:03,576040
2021-09-03 02:55:33,805176
2021-09-03 02:56:03,867880
2021-09-03 02:56:33,490664
2021-09-03 02:57:03,487936
2021-09-03 02:57:33,469880
2021-09-03 02:58:03,22461656
2021-09-03 02:58:33,485296
2021-09-03 02:59:03,504056
2021-09-03 02:59:33,496848
2021-09-03 03:00:03,550352
2021-09-03 03:00:35,522696
2021-09-03 03:01:03,484720
2021-09-03 03:01:34,614744
2021-09-03 03:02:03,553040
2021-09-03 03:02:33,491264
2021-09-03 03:03:04,484360
2021-09-03 03:03:33,515032
2021-09-03 03:04:03,2027840
2021-09-03 03:04:33,474032
2021-09-03 03:05:03,478360
2021-09-03 03:05:33,480800
2021-09-03 03:06:03,1795488
2021-09-03 03:06:33,2546760
2021-09-03 03:07:03,2300824
2021-09-03 03:07:33,2780720
2021-09-03 03:08:03,3047240
2021-09-03 03:08:33,3275016
2021-09-03 03:09:03,3508520
2021-09-03 03:09:33,1639688
2021-09-03 03:10:03,843160
2021-09-03 03:10:33,989504
2021-09-03 03:11:03,1015432
2021-09-03 03:11:34,496504
2021-09-03 03:12:03,2219632
2021-09-03 03:12:33,472352
2021-09-03 03:13:03,552600
2021-09-03 03:13:33,486264
2021-09-03 03:14:03,16647768
2021-09-03 03:14:33,976544
2021-09-03 03:15:03,836064
2021-09-03 03:15:33,986864
2021-09-03 03:16:03,1356928
2021-09-03 03:16:33,989200
2021-09-03 03:17:03,507832
2021-09-03 03:17:33,472976
2021-09-03 03:18:03,482696
2021-09-03 03:18:33,1042440
2021-09-03 03:19:03,779888
2021-09-03 03:19:33,673720
2021-09-03 03:20:03,541488
2021-09-03 03:20:33,515288
2021-09-03 03:21:03,843312
2021-09-03 03:21:33,475320
2021-09-03 03:22:03,494000
2021-09-03 03:22:33,1097160
2021-09-03 03:23:03,553464
2021-09-03 03:23:33,478616
2021-09-03 03:24:03,473456
2021-09-03 03:24:33,493320
2021-09-03 03:25:03,467704
2021-09-03 03:25:33,477520
2021-09-03 03:26:03,475592
2021-09-03 03:26:33,485592
2021-09-03 03:27:03,609440
2021-09-03 03:27:34,481928
2021-09-03 03:28:03,485064
2021-09-03 03:28:33,478328
2021-09-03 03:29:03,476536
2021-09-03 03:29:33,477816
2021-09-03 03:30:03,474712
