Data;Hora;NDeSerie;QtdBites
14-09-2021;16:32:03;1631647923;107173928
14-09-2021;16:31:33;1631647893;162069176
14-09-2021;16:30:33;1631647833;137871296
14-09-2021;16:30:03;1631647803;123979384
14-09-2021;16:29:33;1631647773;120700024
14-09-2021;16:29:03;1631647743;208152432
14-09-2021;16:28:33;1631647713;161869680
14-09-2021;16:28:03;1631647683;151044240
14-09-2021;16:27:33;1631647653;158179888
14-09-2021;16:26:33;1631647593;142940096
14-09-2021;16:26:03;1631647563;118783104
14-09-2021;16:25:33;1631647533;77626544
14-09-2021;16:25:03;1631647503;75635960
14-09-2021;16:24:33;1631647473;78888832
14-09-2021;16:24:03;1631647443;61083736
14-09-2021;16:23:33;1631647413;88448208
14-09-2021;16:23:03;1631647383;74690328
14-09-2021;16:22:33;1631647353;93847328
14-09-2021;16:22:03;1631647323;66455640
14-09-2021;16:21:33;1631647293;106569224
14-09-2021;16:20:33;1631647233;137598648
14-09-2021;16:20:03;1631647203;163931536
14-09-2021;16:19:33;1631647173;196698136
14-09-2021;16:19:03;1631647143;145489864
14-09-2021;16:18:33;1631647113;94529376
14-09-2021;16:18:03;1631647083;101694712
14-09-2021;16:17:33;1631647053;41309328
14-09-2021;16:17:03;1631647023;75736960
14-09-2021;16:16:33;1631646993;80967144
14-09-2021;16:15:33;1631646933;57442104
14-09-2021;16:15:03;1631646903;77570752
14-09-2021;16:14:33;1631646873;79702664
14-09-2021;16:14:03;1631646843;99189632
14-09-2021;16:13:33;1631646813;83031600
14-09-2021;16:13:03;1631646783;84437672
14-09-2021;16:12:33;1631646753;77129232
14-09-2021;16:12:03;1631646723;80470720
14-09-2021;16:11:33;1631646693;59401608
14-09-2021;16:11:03;1631646663;97934720
14-09-2021;16:10:33;1631646633;105038328
14-09-2021;16:10:03;1631646603;59076464
14-09-2021;16:09:33;1631646573;68167760
14-09-2021;16:08:33;1631646513;92634392
14-09-2021;16:08:03;1631646483;55510920
14-09-2021;16:07:33;1631646453;97451672
14-09-2021;16:07:03;1631646423;46066544
14-09-2021;16:06:33;1631646393;62677520
14-09-2021;16:06:03;1631646363;51288280
14-09-2021;16:05:33;1631646333;61079400
14-09-2021;16:05:03;1631646303;104038608
14-09-2021;16:04:33;1631646273;93791656
14-09-2021;16:04:03;1631646243;63184400
14-09-2021;16:03:33;1631646213;163519712
14-09-2021;16:03:03;1631646183;126252712
14-09-2021;16:02:04;1631646124;52973304
14-09-2021;16:01:33;1631646093;93285480
14-09-2021;16:01:03;1631646063;69979088
14-09-2021;16:00:33;1631646033;140447336
14-09-2021;16:00:03;1631646003;102052912
14-09-2021;15:59:33;1631645973;63158776
14-09-2021;15:59:03;1631645943;50156408
14-09-2021;15:58:33;1631645913;72602344
14-09-2021;15:58:03;1631645883;95890128
14-09-2021;15:57:33;1631645853;103545360
14-09-2021;15:57:03;1631645823;63217568
14-09-2021;15:56:33;1631645793;62821624
14-09-2021;15:56:03;1631645763;105678696
14-09-2021;15:55:03;1631645703;160186928
14-09-2021;15:54:33;1631645673;129624448
14-09-2021;15:54:03;1631645643;78552048
14-09-2021;15:53:33;1631645613;66732144
14-09-2021;15:53:03;1631645583;108892368
14-09-2021;15:52:33;1631645553;59107384
14-09-2021;15:52:03;1631645523;135936464
14-09-2021;15:51:33;1631645493;122015584
14-09-2021;15:50:33;1631645433;162154192
14-09-2021;15:50:03;1631645403;98287112
14-09-2021;15:49:34;1631645374;125471552
14-09-2021;15:49:03;1631645343;149489112
14-09-2021;15:48:33;1631645313;245441064
14-09-2021;15:48:03;1631645283;229337536
14-09-2021;15:47:03;1631645223;129272104
14-09-2021;15:46:33;1631645193;174033456
14-09-2021;15:46:03;1631645163;179482496
14-09-2021;15:45:33;1631645133;130683608
14-09-2021;15:45:03;1631645103;108555752
14-09-2021;15:44:33;1631645073;113003184
14-09-2021;15:43:33;1631645013;171288120
14-09-2021;15:43:04;1631644984;178917384
14-09-2021;15:42:33;1631644953;161052296
14-09-2021;15:42:03;1631644923;221502208
14-09-2021;15:41:34;1631644894;119054200
14-09-2021;15:41:03;1631644863;137581888
14-09-2021;15:40:03;1631644803;73074584
14-09-2021;15:39:33;1631644773;111261400
14-09-2021;15:39:03;1631644743;90688000
14-09-2021;15:38:34;1631644714;52294264
14-09-2021;15:38:03;1631644683;101095824
14-09-2021;15:37:33;1631644653;117098640
14-09-2021;15:37:03;1631644623;170915880
14-09-2021;15:36:34;1631644594;88187296
14-09-2021;15:36:03;1631644563;116000792
14-09-2021;15:35:33;1631644533;105153528
14-09-2021;15:34:33;1631644473;137384632
14-09-2021;15:34:03;1631644443;117535536
14-09-2021;15:33:33;1631644413;71267192
14-09-2021;15:33:03;1631644383;138191544
14-09-2021;15:32:33;1631644353;126821480
14-09-2021;15:32:03;1631644323;147231480
14-09-2021;15:31:33;1631644293;114843128
14-09-2021;15:31:03;1631644263;156582680
14-09-2021;15:30:03;1631644203;192426144
14-09-2021;15:29:33;1631644173;62953000
